####################################################################################################
# ACE v0.9d+ Filelists                                                                             #
####################################################################################################
# Format:                                                                                          #
# <Whitelist identifier>                                                                           #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <FileName><TAB>+<FileSize><TAB>+<MD5 Hash><TAB>+<File Identifier><TAB>+<Hacked>?                 #
# <Signature>                                                                                      #
#                                                                                                  #
# Guidelines:                                                                                      #
# > Values must be separated by one or more tabs (hence: <TAB>+)                                   #
# > <FileSize> = -1 => All sizes allowed                                                           #
# > <MD5 Hash> = x  => All hashes allowed                                                          #
# > The <Hacked> value is optional                                                                 #
# > Empty lines are ignored                                                                        #
# > Anything behind a '#' char is ignored                                                          #
#                                                                                                  #
####################################################################################################
ACE_20241228_A

##################################################################################################################################
# Filename              Size            MD5 Hash                                Identifier                              Hacked?  #
##################################################################################################################################
ACEV13K_C.DLL			840840			7DE871015E36680E891446239C64A746		ACE v1.3k for UEngine 1
ACEV13K_C.U				27533			1FDA8DC6134D7CC7F0C91DC9797174D3		ACE v1.3k for UEngine 1
ACEV13L_C.DLL			843912			33A07D837EFF324674ED314A86329DCC		ACE v1.3l for UEngine 1 - Legacy
ACEV13L_C.DLL			855176			AF30E4FE995D85F8AAE2B1D94B1A6197		ACE v1.3l for UEngine 1
ACEV13L_C.DLL			840328			EE9A47D0976BFA3B2EA7DBF4BE2E4ED5		ACE v1.3l for UEngine 1
ACEV13L_C.U				27533			352D366A14B11EDDC5F4E3D77FD150D6		ACE v1.3l for UEngine 1
ACTORRESETTER.U			19688			FBC164B33E1541EAAABC96C241085116		TO 3.40
ALAUDIO.DLL				139264			9A6A9C86793639619852DAC1A34427E0		OldUnreal MediaPatch v0.1
ALAUDIO.DLL				139264			779E98199A765B6FD6F3B3C66FF86576		OldUnreal MediaPatch v0.2
ALAUDIO.DLL				246784			55BCFEEF1A9419C132B9729057CA2C2E		OldUnreal ALAudio 2.4.7
ALAUDIO.DLL				936448			8E45076847419C27323A95F2453EB61D		UT v469a Release
ALAUDIO.DLL				669984			028B15590F1983FEA8E3D3C68857068D		UT v469b Release
ALAUDIO.DLL				591632			BEC9AFBB6339EA6858179D9B3BAD0C89		UT v469c Release
ALAUDIO.DLL				599312			0B6CB6FBC34D24FBFEF415A4BEF934DA		UT v469c Release - WinXP
ALAUDIO.DLL				593672			F95BAB83B2D4EFE0ED5D6FBF0D45721C		UT v469d - RC1
ALAUDIO.DLL				600840			58F300C52A96BDC8B1B97A13C18B1D83		UT v469d - RC2 - WinXP
ALAUDIO.DLL				593672			324F750762849AFFFF7EBDB689F4C40C		UT v469d - RC2
ALAUDIO.DLL				600328			E34ED62BC828FE5A50622897E4F96FFC		UT v469d - RC3 - WinXP
ALAUDIO.DLL				593160			64738B085D46FCA2EFFF0D9018643B69		UT v469d - RC3
ALAUDIO.DLL				600328			B0E89D1DA3C649F0C0436804ED3739FE		UT v469d - RC4 - WinXP
ALAUDIO.DLL				592648			E5D015802EB9562A1EFEEA5E3FD944D5		UT v469d - RC4
ALAUDIO.DLL				600328			BE4B327D7CC102165B32499DA7FF00BA		UT v469d Release - WinXP
ALAUDIO.DLL				592648			825CB9BEEAB59C692C32683320A63322		UT v469d Release
ALAUDIO.DLL				416520			77082DD78FF786DA7AEA19EE035DA013		UT v469e - 20240117 Preview
ALAUDIO.DLL				418056			00C4453B60944075BB80E96F2385A294		UT v469e - 20240117 Preview - WinXP
ALAUDIO.DLL				416520			14C5E0C5A1EB1BCD3E1DEF6E90876285		UT v469e - 20240120 Preview
ALAUDIO.DLL				418056			F2B997A686C5432151237D6F246F631A		UT v469e - 20240120 Preview - WinXP
ALAUDIO.DLL				421000			70B5BB95083502CF5F14C3569FCF17C6		UT v469e - 20241019 Preview - WinXP
ALAUDIO.DLL				418952			985923C8EB0CADEBC51225AA01E9D5DC		UT v469e - 20241019 Preview
ALAUDIO.DLL				421000			78E7B0C054C6F8BDDD649481C80AE871		UT v469e - 20241021 Preview - WinXP
ALAUDIO.DLL				419464			A2C47812DF5933E6D24BFBBE99A3E6EF		UT v469e - 20241021 Preview
ALAUDIO.DLL				421000			890A54FC30D945EB1C0C3DF488E18005		UT v469e - 20241103 Preview - WinXP
ALAUDIO.DLL				419464			9DA15F8BE0923AD582972515DC51C08B		UT v469e - 20241103 Preview
ALAUDIO.DLL				421000			AB74F5DE0A02A7E4D95377D58FFC0463		UT v469e - RC1 - WinXP
ALAUDIO.DLL				419464			2E110CF0675C4DDC2458D66D2BCB98DE		UT v469e - RC1
ALAUDIO.DLL				421000			54F12356298F1A585D5A7AEA3A938629		UT v469e - RC2 - WinXP
ALAUDIO.DLL				488584			5ED05003C98F60867DA3C7AACC8A27E8		UT v469e - RC2
ALAUDIO.DLL				421512			29EDF9BF88AEE5F780449831AFE1D45C		UT v469e - RC3 - WinXP
ALAUDIO.DLL				418952			2F6565322A45BE7B3928D6163C8C968E		UT v469e - RC3
ALAUDIO.DLL				421512			F66BAAD3E27B459197B61E03F3893365		UT v469e - RC4 - WinXP
ALAUDIO.DLL				419976			427D452036AC355F68BE4601D4BF9944		UT v469e - RC4
ALAUDIO.U				4261			F87AB3F44BBE1E015EF342800D0F541D		OldUnreal MediaPatch v0.1
ALAUDIO.U				64				986086AB7BBD108EB904323808DFB820		UT v469c test45
BOSSSKINS.UTX			1867811			7BA6DD8D47CC85FFF61569EA5BC0DD2E		UT v432 Official
BOSSSKINS.UTX			2790891			972A949A4E03F7523353E7A0D79ED285		UT v400 Official Hi-Res Skins
BOSSSKINS.UTX			1867811			BEADDC6611E6A499A098BC0FEA78305E		HACKED - GMSkins						Y
BOSSSKINS.UTX			1855421			06E708455E4D10013C831131CAEED5CA		HACKED - Rarebotskins					Y
